 RespId,Q10_1,Q10_2,Q10_3,Q10_4
470001,No,No,No,No
470002,No,No,No,No
470003,No,No,Yes,No
470007,No,No,No,No
480008,No,No,No,No
480009,No,No,No,No
480010,No,Yes,No,No
470008,No,No,No,No
470010,No,Yes,Yes,No
470011,No,Yes,No,No
470013,No,No,No,No
470016,No,No,No,No
480020,No,No,No,No
470017,No,No,No,No
470018,No,No,No,No
470019,No,No,Yes,No
470022,No,No,No,No
470025,No,No,No,No
470027,No,No,No,No
470028,No,Yes,No,No
470029,No,No,No,No
470030,Yes,No,No,No
470031,No,No,No,No
470033,No,No,No,No
470034,No,No,No,No
470035,No,No,Yes,No
470036,Yes,Yes,Yes,No
470037,No,Yes,No,No
470038,No,No,No,No
470039,No,Yes,No,No
470040,No,No,No,No
470042,Yes,Yes,No,No
470043,Yes,Yes,No,No
470044,No,No,No,No
470045,No,No,Yes,No
470046,No,No,No,No
480053,No,No,Yes,No
470049,No,No,Yes,No
470050,No,No,No,No
480056,No,No,No,No
470051,Yes,Yes,No,No
470052,No,No,No,No
470053,No,No,No,No
470056,No,No,No,No
470057,No,No,No,No
470058,No,Yes,No,No
470059,No,No,No,No
470061,No,No,Yes,No
470062,No,No,No,No
470064,No,No,No,No
470065,No,Yes,No,No
470067,No,No,Yes,No
470068,No,No,No,No
470070,No,No,No,No
470071,No,Yes,No,No
470072,No,Yes,No,No
470073,No,No,No,No
470074,No,No,No,No
480081,No,No,No,No
470075,No,No,No,No
470077,No,No,No,No
470079,No,No,No,No
470080,No,No,No,No
470082,No,No,No,No
470087,No,No,No,No
470088,No,No,No,No
470089,No,No,No,No
470090,Yes,Yes,Yes,No
470092,No,No,No,No
470094,Yes,Yes,No,No
470096,No,No,No,No
470097,No,No,No,No
470098,No,Yes,Yes,No
470100,No,No,No,No
470101,No,No,No,No
470102,No,No,No,No
470103,No,No,No,No
470104,No,No,No,No
470106,No,No,No,No
470107,No,No,No,No
470108,No,No,No,No
470109,No,No,No,No
470111,No,No,No,No
470112,Yes,Yes,Yes,No
470113,No,No,No,No
470115,No,No,No,No
470116,No,No,No,No
470117,No,No,No,No
470118,No,Yes,No,No
470119,Yes,Yes,No,No
