 RespId,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10
470001,No,No,No,No,No,No,No,No,No,No
470002,No,No,No,No,No,No,No,No,No,No
470003,No,No,No,No,No,No,Yes,No,No,No
470007,No,No,No,No,No,No,No,No,No,No
480008,No,No,No,No,No,No,No,No,No,No
480009,No,No,No,No,No,No,No,No,No,No
480010,No,No,No,No,No,No,No,No,No,No
470008,No,No,No,No,No,No,No,No,No,No
470010,No,No,No,No,No,No,No,No,No,No
470011,No,No,No,No,No,No,No,No,No,No
470013,No,No,No,No,No,No,No,No,No,No
470016,Yes,No,No,No,No,No,No,Yes,Yes,No
480020,No,No,No,No,No,No,No,No,No,No
470017,No,No,No,No,No,No,No,No,No,No
470018,No,No,No,No,No,No,No,No,No,No
470019,No,No,No,No,No,No,No,No,No,No
470022,No,No,No,No,No,No,No,No,No,No
470025,No,No,No,No,No,No,No,Yes,No,No
470027,No,No,No,No,No,No,No,No,No,No
470028,No,No,No,No,No,No,No,No,No,No
470029,No,No,No,No,No,No,No,No,No,No
470030,No,No,No,No,No,No,No,No,No,No
470031,No,No,No,No,No,No,No,No,No,No
470033,No,No,No,No,No,No,No,No,No,No
470034,No,No,No,No,No,No,No,No,No,No
470035,No,No,No,No,No,No,No,No,No,No
470036,No,No,No,No,No,No,No,No,No,No
470037,No,No,No,No,No,No,No,No,No,No
470038,No,No,No,No,No,No,No,No,No,No
470039,No,No,No,No,No,No,No,No,No,No
470040,No,No,No,No,No,No,No,No,No,No
470042,No,No,No,No,No,No,No,No,No,No
470043,No,No,No,No,No,No,No,Yes,Yes,No
470044,No,No,No,No,No,No,No,Yes,No,No
470045,No,No,No,No,No,No,No,No,No,No
470046,No,No,No,No,No,No,No,No,No,No
480053,No,No,No,No,No,No,No,No,No,No
470049,No,No,No,No,No,No,No,No,No,No
470050,No,No,No,No,No,No,No,No,No,No
480056,No,No,No,No,No,No,No,Yes,Yes,No
470051,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
470052,No,No,No,No,No,No,No,No,No,No
470053,No,No,No,No,No,No,No,No,No,No
470056,No,No,No,No,No,Yes,Yes,No,No,Yes
470057,No,No,No,No,No,No,No,No,No,No
470058,No,No,No,No,No,No,No,No,No,No
