 RespId,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8
470001,Agree,Agree,Agree,Agree,,,Agree,
470002,Agree,,,,,Agree,,
470003,Agree,,,,,,Agree,
470007,Agree,Agree,,Agree,,,,
480008,Agree,Agree,Agree,,Agree,,Agree,
480009,,,,,,,,
480010,Agree,,Agree,Agree,Agree,,,
470008,Agree,,,,,Agree,,
470010,Agree,,Agree,,,,Agree,
470011,Agree,Agree,,,,,Agree,
470013,Agree,,,Agree,,,,
470016,Agree,Agree,,Agree,Agree,Agree,,
480020,,,,,,,,
470017,,,,,,,,Agree
470018,Agree,Agree,Agree,Agree,,Agree,Agree,
470019,,,,,Agree,,,
470022,Agree,Agree,Agree,Agree,,Agree,Agree,
470025,Agree,Agree,Agree,,Agree,Agree,Agree,
470027,Agree,,Agree,,Agree,,,
470028,Agree,,Agree,,,,Agree,
470029,,,,,,,,
470030,Agree,Agree,,Agree,Agree,,,
470031,Agree,,,,,,,
470033,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
470034,Agree,Agree,,Agree,,Agree,Agree,
470035,,Agree,Agree,,,,,
470036,,,,,,,,
470037,Agree,,,,,,,
470038,Agree,,,Agree,Agree,,,
470039,Agree,,,,,,,
470040,Agree,,,,,,Agree,
470042,Agree,,,,Agree,Agree,Agree,
470043,,,,,,,Agree,
470044,Agree,Agree,Agree,,,,,
470045,Agree,,Agree,,Agree,Agree,Agree,
470046,Agree,,,,Agree,,Agree,
480053,Agree,,,Agree,Agree,,,
470049,,Agree,,,,,,
470050,Agree,,,,,,,
480056,Agree,,,,,,,
470051,,,,,,,,
470052,Agree,Agree,,Agree,,Agree,Agree,
470053,Agree,,,,,,Agree,
470056,Agree,,Agree,,,,Agree,
470057,Agree,,Agree,Agree,Agree,,Agree,
470058,Agree,,,Agree,,,,
470059,,,Agree,,,,,
470061,Agree,,,,,,,
470062,Agree,,,,Agree,,,
470064,Agree,,Agree,,Agree,Agree,Agree,Agree
470065,,,,Agree,Agree,Agree,,
470067,Agree,,Agree,,,,,
470068,Agree,,,Agree,,Agree,Agree,
470070,Agree,Agree,Agree,Agree,Agree,,,
470071,Agree,,,,,,Agree,
470072,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
470073,Agree,,,Agree,,,,
470074,Agree,Agree,Agree,,Agree,Agree,Agree,
480081,Agree,Agree,Agree,,Agree,,Agree,
470075,Agree,,,,Agree,,,
470077,,,,Agree,,,,
470079,Agree,,,,,,,
470080,,,,,,,,
470082,,,Agree,,,,,
470087,Agree,,Agree,Agree,Agree,,Agree,
470088,Agree,,,,Agree,,,
470089,,,,,,,,
470090,,,,,,,,
470092,Agree,,,,,,,Agree
470094,Agree,,Agree,Agree,,,,
470096,Agree,,,,Agree,Agree,Agree,
470097,Agree,Agree,Agree,,Agree,,,
470098,,,,,Agree,,,
470100,,,,,,Agree,,
470101,,,,Agree,,,Agree,
470102,,,Agree,,,,,
470103,Agree,,,,,Agree,Agree,
470104,Agree,,,,,,,
470106,,,,,,,,
470107,Agree,Agree,,,,,,
470108,Agree,Agree,Agree,Agree,,Agree,Agree,
470109,,,,Agree,,,,
470111,Agree,Agree,,Agree,,Agree,Agree,
470112,,Agree,,,,,,
470113,Agree,,Agree,,Agree,,Agree,
470115,Agree,Agree,Agree,,,,Agree,
470116,Agree,Agree,Agree,,,,,
470117,Agree,Agree,Agree,,,,,
470118,Agree,,,,Agree,,,
470119,Agree,,,Agree,Agree,Agree,Agree,
480127,,Agree,Agree,Agree,,,,
470120,Agree,Agree,,Agree,,,Agree,
470121,Agree,Agree,Agree,,Agree,,,
470122,,,Agree,,,,,
470125,Agree,Agree,Agree,,Agree,Agree,,
470126,Agree,,,Agree,,,,
470127,,,,,,,,
470128,Agree,,,,,Agree,,
470131,,,,,,,,
470133,Agree,,Agree,,Agree,Agree,Agree,
470134,,,Agree,,,,,
470135,Agree,,,Agree,,Agree,,
470137,,,,,,,,
470138,,,,Agree,,,,
470139,Agree,,Agree,Agree,,,,
470140,Agree,,Agree,,,Agree,Agree,
470141,Agree,,Agree,,,,,
470142,Agree,,,,,,,
480152,,Agree,,,,,,
470143,Agree,,,,,,Agree,
470144,Agree,,Agree,Agree,,Agree,Agree,
470145,,,,Agree,,,,
470146,Agree,Agree,Agree,,,,,
470147,Agree,,Agree,Agree,,,Agree,
470148,Agree,,Agree,Agree,,,Agree,
470149,Agree,Agree,,Agree,,Agree,Agree,
470151,Agree,Agree,Agree,,Agree,,,
470152,Agree,Agree,Agree,,,,,
470154,,,,Agree,,,,
470158,Agree,,,,Agree,,,
470159,Agree,Agree,,Agree,Agree,,,
470160,Agree,Agree,,,Agree,,Agree,
470162,Agree,,,,,,,
470163,Agree,,Agree,Agree,,Agree,,
470164,Agree,,,,,,,
470165,,,,,,,Agree,
470167,Agree,Agree,,Agree,,,,
470168,Agree,Agree,Agree,Agree,,,Agree,
470169,Agree,Agree,Agree,Agree,,,Agree,
480183,,,,,,,,Agree
470172,Agree,Agree,Agree,,Agree,,Agree,
470174,Agree,Agree,,Agree,Agree,Agree,Agree,
470175,,,,,,,,
470177,,,,,,,,
470179,Agree,,,,,,,
470180,,Agree,,,,,,
470181,Agree,,,,,,,
470182,Agree,Agree,Agree,Agree,Agree,,Agree,
470183,Agree,,Agree,Agree,Agree,Agree,Agree,
470184,Agree,,Agree,,Agree,Agree,Agree,
470186,Agree,,,,,,,
470187,Agree,,,Agree,,,Agree,
470188,Agree,Agree,,,Agree,Agree,Agree,
470189,,,,,,,,
470190,,,,,,Agree,,
470191,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
470193,Agree,Agree,,,,Agree,,
470196,Agree,,,,,,,
470198,Agree,,,,,,,
470200,Agree,Agree,,Agree,,,,
470201,Agree,,Agree,Agree,,,Agree,
470205,Agree,,Agree,,Agree,,,
470206,Agree,Agree,,Agree,Agree,Agree,Agree,
470207,Agree,,Agree,,Agree,,Agree,
470208,Agree,,,Agree,,,,
480222,,,Agree,,,,,
470212,Agree,,,,,Agree,Agree,
470213,,Agree,Agree,Agree,,,Agree,
470214,Agree,,,,Agree,Agree,Agree,
470215,,,,Agree,,,,
480230,Agree,,,,,,,
470216,Agree,,Agree,Agree,,,Agree,
470217,Agree,,Agree,,Agree,,Agree,
470218,,,,,,,,
470219,Agree,,,,,,Agree,
470220,Agree,Agree,Agree,,,Agree,,
470222,Agree,,Agree,,,,,
470225,Agree,,,,,,Agree,
470228,,Agree,Agree,,Agree,,,
470229,,Agree,,,,,,
470230,,,Agree,,Agree,,,
470232,,,,,,,,
470233,Agree,,,,,,,
470235,Agree,Agree,Agree,,,,Agree,
470237,,,,,,,,
470238,,,,,,,,
470239,Agree,,,,,,,
470241,,,,,,,,
470242,Agree,,Agree,,,,Agree,
470243,Agree,Agree,Agree,Agree,Agree,,Agree,
470246,,,,,Agree,,,
470247,,,,Agree,,,,
470248,Agree,,,,,Agree,,
470250,Agree,,,,,,,Agree
470251,Agree,,Agree,Agree,,,Agree,
470255,Agree,Agree,Agree,,Agree,Agree,Agree,
480273,Agree,,,,,,,
470256,Agree,,Agree,,,,Agree,
470257,Agree,Agree,,,,Agree,Agree,
470259,Agree,Agree,,,Agree,,Agree,
470260,,Agree,,,Agree,,,
470262,Agree,,Agree,,,Agree,Agree,
470266,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
470267,Agree,,Agree,,Agree,Agree,,
470268,Agree,Agree,,Agree,,,Agree,
470270,Agree,,,Agree,Agree,,Agree,
