 RespId,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q20,Q21,Q22,Q23,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10
470001,Very important,Very important,Somewhat important,Not at all important,Very important,Not at all important,Somewhat important,Somewhat important,Not at all important,Somewhat important,,No,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Agree,,,Agree,,,,,,,,,,,
470002,Very important,Somewhat important,Somewhat important,Not so important,Very important,Very important,Somewhat important,Very important,Very important,Not so important,,Yes,In-person on Election Day,Not very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,,Agree,,,,,,,,,,,,
470003,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Not at all important,Not so important,,No,Mail-in/Absentee ballot,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,,,Agree,,,,,,,,,,,
470007,Very important,Very important,Very important,Not so important,Very important,Very important,Very important,Very important,Very important,Somewhat important,,No,Mail-in/Absentee ballot,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,,Agree,,,,,,,,,,,,,,
480008,Very important,Very important,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,Yes,In-person on Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,,Agree,,Agree,,,,,,,,,,,
480009,Not so important,Somewhat important,Not so important,Not at all important,Very important,Not so important,Not so important,Very important,Very important,Not at all important,Other,,Other,Not very closely,Never,No,No,No,No,No,No,,,,,,,,,,,,,,,,,Agree,
480010,Very important,Very important,Somewhat important,Not so important,Very important,Very important,Very important,Very important,Very important,Not so important,,Yes,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,Agree,Agree,Agree,,,,,,,,,,,,,
470008,Very important,Very important,Somewhat important,Somewhat important,Very important,Not so important,Very important,Very important,Not at all important,Somewhat important,,No,Mail-in/Absentee ballot,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,,Agree,,,,,,,,,,,,
470010,Very important,Very important,Very important,Not so important,Very important,Very important,Very important,Very important,Not so important,Somewhat important,,Yes,In-person on Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,Agree,,,,Agree,,,,,,,,,,,
470011,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,,Yes,Mail-in/Absentee ballot,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,,,,,Agree,,,,,,,,,,,
470013,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not so important,Not so important,,Yes,In-person on Election Day,Not very closely,Always/almost always,No,Yes,No,Yes,No,Yes,Agree,,,Agree,,,,,,,,,,,,,,
470016,Very important,Very important,Very important,Not at all important,Very important,Not at all important,Somewhat important,Not so important,Not at all important,Somewhat important,,No,In-person on Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,,Agree,Agree,Agree,,,,,,,,,,,,
480020,Not so important,Not at all important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Very important,Somewhat important,Not at all important,Somewhat important,Doesn't matter,Yes,In-person on Election Day,Somewhat closely,Never,No,No,No,No,No,No,,,,,,,,,,Agree,,,,,,,,
470017,Very important,Very important,Not so important,Not so important,Very important,Very important,Very important,Very important,Not at all important,Not so important,,3.0,Mail-in/Absentee ballot,Not closely at all,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Agree,,,,,,,,,,
470018,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not at all important,,Yes,In-person on Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Agree,,Agree,Agree,,,,,,,,,,,
470019,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,,Yes,In-person on Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Agree,,,,,,,,,,,,,
470022,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,,No,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Agree,,Agree,Agree,,,,,,,,,,,
470025,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,,Yes,In-person on Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,,Agree,Agree,Agree,,,,,,,,,,,
470027,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Not so important,Very important,,Yes,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,Agree,,Agree,,,,,,,,,,,,,
470028,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Not so important,,Yes,In-person on Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,Agree,,,,Agree,,,,,,,,,,,
470029,Somewhat important,Not so important,Not so important,Somewhat important,Very important,Not so important,Very important,Somewhat important,Somewhat important,Not so important,Distrust the system,3.0,Mail-in/Absentee ballot,Not very closely,Never,No,No,No,No,No,No,,,,,,,,,,,Agree,Agree,,,,,,
470030,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Not so important,,Yes,In-person before Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,,Agree,Agree,,,,,,,,,,,,,
470031,Very important,Very important,Somewhat important,Somewhat important,Very important,Not so important,Very important,Very important,Not at all important,Somewhat important,,No,In-person on Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,,,,,,,,,,,,,,
470033,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,,Yes,In-person on Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,
470034,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not so important,,Yes,In-person on Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,,Agree,,Agree,Agree,,,,,,,,,,,
