 RespId,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6
470001,Somewhat,Significant,Somewhat,Somewhat,Somewhat,Somewhat
470002,Somewhat,Somewhat,Somewhat,Slight,Slight,Significant
470003,Somewhat,Somewhat,Slight,Slight,Somewhat,Slight
470007,Significant,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
480008,Significant,Significant,Significant,Significant,Significant,Significant
480009,No impact,Slight,Slight,Slight,No impact,Somewhat
480010,Somewhat,Significant,Significant,Somewhat,Significant,Significant
470008,Significant,Significant,Somewhat,Somewhat,Somewhat,Slight
470010,Somewhat,Somewhat,Somewhat,No impact,Slight,Slight
470011,Somewhat,Slight,Slight,Slight,Somewhat,Slight
470013,Somewhat,Somewhat,Slight,Slight,Slight,Slight
470016,Somewhat,Significant,Significant,Somewhat,Significant,Somewhat
480020,Significant,Significant,Significant,Slight,Somewhat,No impact
470017,Somewhat,Somewhat,Somewhat,No impact,Somewhat,Somewhat
470018,Somewhat,Somewhat,Somewhat,No impact,Somewhat,Significant
470019,Significant,Significant,Significant,Somewhat,Significant,Somewhat
470022,Significant,Significant,Significant,Significant,Significant,Significant
470025,Significant,Significant,Significant,Significant,Somewhat,Significant
470027,Somewhat,Significant,Significant,Somewhat,Slight,Slight
470028,Significant,Somewhat,Slight,Somewhat,Significant,Significant
470029,Slight,Somewhat,No impact,Significant,Somewhat,Somewhat
470030,Somewhat,Somewhat,Somewhat,Slight,Slight,Significant
470031,Significant,Somewhat,Somewhat,Significant,Somewhat,Significant
470033,Significant,Significant,Significant,Significant,Slight,Somewhat
470034,Significant,Significant,Significant,Significant,Significant,Significant
470035,No impact,Slight,Somewhat,Somewhat,Significant,Somewhat
470036,Somewhat,Slight,Slight,Somewhat,No impact,Significant
470037,Significant,Somewhat,Slight,Slight,Slight,Somewhat
470038,Significant,Significant,Significant,Slight,No impact,Significant
470039,Significant,Somewhat,Slight,Slight,Somewhat,Slight
470040,Slight,Slight,Slight,Slight,Slight,Slight
470042,Somewhat,Somewhat,Slight,Somewhat,Slight,Significant
470043,Slight,Slight,Slight,Slight,Slight,Somewhat
470044,Slight,Significant,Somewhat,No impact,Slight,No impact
470045,Significant,Significant,Significant,Slight,No impact,No impact
470046,Significant,Significant,Somewhat,Significant,Significant,Significant
480053,Significant,Significant,Somewhat,Slight,Slight,Significant
470049,Significant,No impact,No impact,Somewhat,No impact,No impact
470050,Significant,Significant,Significant,Somewhat,Somewhat,Significant
480056,Slight,Somewhat,No impact,Slight,Slight,No impact
470051,Somewhat,Significant,Slight,Slight,No impact,Somewhat
470052,Slight,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470053,Significant,Somewhat,Somewhat,Significant,Somewhat,Somewhat
470056,Somewhat,Significant,Significant,Somewhat,Somewhat,Somewhat
470057,Slight,Somewhat,Somewhat,No impact,Significant,No impact
470058,Somewhat,Slight,Slight,Somewhat,No impact,Significant
470059,Significant,Significant,Significant,Somewhat,Significant,Significant
470061,Somewhat,Somewhat,,Somewhat,Somewhat,Somewhat
470062,Significant,Significant,Somewhat,Slight,Somewhat,Somewhat
470064,Somewhat,Somewhat,No impact,Slight,Somewhat,No impact
