 RespId,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9
470001,Only a few,None,Some,A lot,A lot,A lot,A lot,Some,None
470002,Some,Only a few,Some,Some,Some,Some,Only a few,Some,Some
470003,Only a few,Some,A lot,A lot,Some,Some,Some,Some,A lot
470007,Only a few,Some,Some,Some,Some,Some,Some,Some,Some
480008,A lot,Only a few,Some,Only a few,Only a few,Only a few,None,Some,Some
480009,Only a few,Only a few,Only a few,Some,Only a few,Only a few,Some,Some,Some
480010,Some,,Some,A lot,A lot,A lot,Some,A lot,Some
470008,None,None,A lot,A lot,Some,Some,None,A lot,A lot
470010,Only a few,None,Only a few,Some,Some,Some,None,Some,Some
470011,Some,Only a few,Some,Some,Some,Some,Some,A lot,Some
470013,Some,Some,Some,Some,Some,Some,Only a few,Some,Only a few
470016,None,Only a few,Some,Only a few,Some,Some,A lot,Only a few,Some
480020,A lot,None,A lot,Only a few,None,Only a few,None,Some,Only a few
470017,None,None,None,Some,None,Some,None,Some,Some
470018,A lot,Only a few,Some,Some,Some,Some,None,A lot,A lot
470019,A lot,None,Some,Some,Some,Only a few,None,A lot,A lot
470022,None,Some,Some,A lot,A lot,Some,A lot,A lot,A lot
470025,A lot,Only a few,Only a few,Some,Some,Some,None,A lot,Some
470027,Only a few,Only a few,Some,A lot,Some,Some,None,Some,A lot
470028,Some,Some,A lot,Some,Some,Some,Only a few,A lot,A lot
470029,Only a few,None,Some,Some,Only a few,Only a few,None,Only a few,Only a few
470030,A lot,Only a few,A lot,Some,Some,A lot,Only a few,A lot,A lot
470031,None,Only a few,A lot,A lot,Some,A lot,Some,A lot,A lot
470033,A lot,Only a few,Some,Some,Some,Some,Only a few,A lot,Some
470034,A lot,None,Some,Some,Some,Only a few,None,A lot,None
470035,None,A lot,A lot,A lot,A lot,A lot,Some,A lot,A lot
470036,Only a few,Some,Only a few,Some,Only a few,Only a few,Some,Some,Some
470037,None,None,A lot,Some,None,A lot,Only a few,Some,Some
470038,A lot,Only a few,Only a few,Only a few,Some,A lot,Only a few,A lot,A lot
470039,Some,Only a few,Some,Some,Some,Some,None,Some,Some
470040,Only a few,Only a few,Some,Some,Only a few,Some,Some,Some,Some
470042,None,Only a few,Some,Some,None,Some,Some,None,Some
470043,A lot,A lot,Only a few,A lot,Some,A lot,Some,A lot,A lot
470044,Some,None,Only a few,Some,Some,Only a few,None,Some,Some
470045,Only a few,Some,Some,A lot,Some,Some,Some,Some,Some
470046,None,Some,A lot,A lot,Some,Some,Some,Some,Some
480053,Some,Some,A lot,Some,Only a few,Some,Some,Only a few,A lot
470049,None,Some,Some,A lot,Only a few,Only a few,Some,Some,Some
470050,Some,Some,Some,,Some,Some,Some,A lot,Some
480056,None,None,Some,A lot,Some,Some,A lot,None,None
470051,None,None,A lot,A lot,Some,Some,Some,Some,Some
470052,None,None,Some,A lot,Only a few,Some,Only a few,Some,A lot
470053,Only a few,Only a few,Some,A lot,Some,A lot,A lot,Some,A lot
470056,Some,Only a few,Some,A lot,Some,Some,Some,Some,A lot
470057,Some,None,None,None,None,None,None,Only a few,Some
470058,A lot,Only a few,A lot,Some,Some,Some,Only a few,A lot,A lot
470059,Only a few,Only a few,Some,A lot,Only a few,Some,Some,Some,A lot
470061,Some,Some,Some,Some,Some,Only a few,Some,Some,Some
470062,Some,Some,Some,A lot,A lot,Some,Only a few,A lot,A lot
470064,Only a few,Some,Some,A lot,Only a few,Some,Only a few,A lot,Some
470065,None,A lot,A lot,A lot,,None,None,A lot,A lot
470067,Only a few,None,A lot,Some,Some,Only a few,None,Some,Only a few
470068,None,Only a few,Some,Some,Some,Some,A lot,Some,A lot
470070,A lot,Only a few,A lot,Only a few,Some,Only a few,Only a few,A lot,A lot
470071,Only a few,Some,A lot,A lot,Only a few,Some,Only a few,A lot,A lot
470072,None,Some,Only a few,Some,Some,Only a few,Some,Only a few,Only a few
470073,Some,Some,Some,A lot,Some,Some,Some,Only a few,A lot
470074,Some,Some,Some,A lot,Some,A lot,Some,A lot,A lot
480081,A lot,Some,Some,Some,Some,Some,Only a few,Some,
470075,Some,Some,A lot,Some,Some,A lot,Only a few,A lot,A lot
470077,A lot,Only a few,Some,Only a few,Some,Some,None,A lot,Only a few
470079,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot
470080,,,,A lot,,Only a few,Only a few,Some,Some
470082,None,Some,A lot,A lot,A lot,A lot,Only a few,A lot,A lot
470087,A lot,Some,Some,None,Some,None,None,Some,Some
